institution_name,basic,grad_rate,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow,id
Broward College,Associates--Public Urban-serving Multicampus,0.207,43883,23811,0.304,30322,1012,3732,1208,0,0.501,1,0.245,28763688,507.012,1012,3776784,4508256,73
Texas State University at San Marcos,Masters Colleges and Universities--larger programs,0.217,31005,42278,0.828,25911,1045,5963,4699,0.3,0.345,0.771,0.732,198664322,360.525,805.695,6231335,28020137,490
University of Houston-Victoria,Masters Colleges and Universities--larger programs,0.323,2889,36332,0.507,2076,903,4725,5131,0,0.437,0.478,0.591,186419492,394.611,431.63399999999996,4266675,24243975,478
College of William and Mary,Research Universities--high research activity,0.251,6271,80906,0.988,6098,1358,13615,84573,0.83,0.117,0.956,0.788,6842463138,158.886,1298.248,18489170,1151461395,515
University of North Carolina at Pembroke,Masters Colleges and Universities--medium programs,0.173,5429,57497,0.779,5048,926,5930,3278,0.15,0.535,0.676,0.748,188475166,495.41,625.976,5491180,19438540,343
Eastern Washington University,Masters Colleges and Universities--larger programs,0.211,11678,45343,0.832,10531,970,8483,1985,0.18,0.387,0.748,0.634,90005855,375.39,725.56,8228510,16838755,533
West Chester University of Pennsylvania,Masters Colleges and Universities--larger programs,0.214,13711,53890,0.909,13049,1105,5291,1756,0.43,0.241,0.874,0.72,94630840,266.305,965.77,5846555,9290996,445
St. Mary's College of Maryland,Baccalaureate Colleges--Arts & Sciences,0.22,1819,109456,0.969,1922,1221,8605,14712,0.71,0.152,0.9,0.754,1610316672,185.59199999999998,1098.9,10506705,126596760,198
University of Wisconsin at Green Bay,Masters Colleges and Universities--smaller programs,0.23,6445,45862,0.672,5322,1070,5295,5300,0.2,0.329,0.719,0.676,243068600,352.03000000000003,769.3299999999999,5665650,28063500,557
Dickinson State University,Baccalaureate Colleges--Diverse Fields,0.229,1449,49919,0.703,1411,965,3878,7753,0.15,0.234,0.555,0.603,387022007,225.81,535.575,3742270,30066134,347
Boise State University,Masters Colleges and Universities--larger programs,0.187,19026,48958,0.654,14986,1050,4125,4948,0.1,0.372,0.713,0.555,242244184,390.6,748.65,4331250,20410500,127
Grambling State University,Masters Colleges and Universities--medium programs,0.166,4155,53151,0.929,4191,863,13767,2220,0.07,0.735,0.689,0.89,117995220,634.305,594.607,11880921,30562740,169
Morgan State University,Doctoral/Research Universities,0.14,6252,102886,0.88,6227,893,7073,3328,0.11,0.615,0.721,0.847,342404608,549.1949999999999,643.853,6316189,23538944,196
Pittsburg State University,Masters Colleges and Universities--larger programs,0.195,6236,47644,0.902,6041,1010,4336,10809,0.24,0.403,0.743,0.753,514983996,407.03000000000003,750.43,4379360,46867824,159
University of Tennessee at Martin,Masters Colleges and Universities--medium programs,0.166,7025,61339,0.844,6728,1050,7521,4610,0.21,0.471,0.699,0.755,282772790,494.54999999999995,733.9499999999999,7897050,34671810,469
Saginaw Valley State University,Masters Colleges and Universities--larger programs,0.157,9163,55274,0.832,8153,990,5534,6705,0.1,0.408,0.705,0.421,370612170,403.91999999999996,697.9499999999999,5478660,37105470,224
University of Texas at San Antonio,Research Universities--high research activity,0.188,24342,53000,0.823,22635,1050,6632,3953,0.09,0.438,0.644,0.713,209509000,459.9,676.2,6963600,26216296,500
Kent State University-Tuscarawas,Associates--Public 2-year colleges under 4-year universities,0.147,2375,49990,0.368,1572,1012,3841,3808,0.04,0.5,0.694,0.415,190361920,506,702.328,3887092,14626528,365
University of Illinois at Chicago,Research Universities--very high research activity,0.231,16671,140990,0.924,15972,1092,12029,7841,0.29,0.491,0.798,0.62,1105502590,536.172,871.416,13135668,94319389,132
University of Memphis,Research Universities--high research activity,0.188,17223,66593,0.715,14524,1031,6618,12196,0.13,0.471,0.758,0.622,812168228,485.601,781.498,6823158,80713128,466
Auburn University,Research Universities--high research activity,0.215,19799,71999,0.91,19635,1215,8875,22092,0.37,0.169,0.895,0.887,1590601908,205.335,1087.425,10783125,196066500,6
University of Wisconsin-Parkside,Baccalaureate Colleges--Arts & Sciences,0.178,4450,73070,0.749,3761,990,5942,1288,0.09,0.426,0.727,0.713,94114160,421.74,719.73,5882580,7653296,560
Michigan Technological University,Research Universities--high research activity,0.204,5617,76157,0.925,5171,1206,9648,13615,0.23,0.267,0.822,0.815,1036877555,322.002,991.332,11635488,131357520,218
University of Hawaii at Hilo,Baccalaureate Colleges--Arts & Sciences,0.215,3457,105035,0.8,3036,967,6906,63,0.08,0.453,0.698,0.718,6617205,438.051,674.966,6678102,435078,124
University of Cincinnati-Raymond Walters College,Associates--Public 2-year colleges under 4-year universities,0.15,4796,56125,0.618,3699,1012,4870,58,0,0.415,1,0.364,3255250,419.97999999999996,1012,4928440,282460,359
Washburn University,Masters Colleges and Universities--medium programs,0.218,6179,59088,0.659,4786,1012,5317,27531,0.17,0.374,0.645,0.518,1626751728,378.488,652.74,5380804,146382327,160
University of Massachusetts at Boston,Research Universities--high research activity,0.211,12366,72033,0.708,10329,1015,8028,5242,0.15,0.383,0.775,0.513,377596986,388.745,786.625,8148420,42082776,204
Harris-Stowe State University,Baccalaureate Colleges--Diverse Fields,0.123,1298,107699,0.758,1155,1012,4687,969,0.02,0.755,0.431,0.275,104360331,764.0600000000001,436.17199999999997,4743244,4541703,245
Valencia Community College,Associates--Public Urban-serving Multicampus,0.243,42180,15845,0.392,30467,1012,4541,1893,0,0.446,1,0.306,29994585,451.35200000000003,1012,4595492,8596113,101
University of Pittsburgh main campus,Research Universities--very high research activity,0.234,18615,101331,0.939,18565,1258,10218,100631,0.64,0.171,0.909,0.865,10197039861,215.11800000000002,1143.522,12854244,1028247558,441
Savannah State University,Baccalaureate Colleges--Arts & Sciences,0.098,4602,102724,0.89,4045,847,5676,1037,0.08,0.74,0.702,0.782,106524788,626.78,594.5939999999999,4807572,5886012,120
Chipola College,Associates--Public 4-year Primarily Associates,0.284,2160,28134,0.436,1609,1012,4754,8895,0,0.423,1,0.35,250251930,428.07599999999996,1012,4811048,42286830,76
Pennsylvania State University-New Kensington,Baccalaureate Colleges--Diverse Fields,0.167,680,0,0.771,641,991,4663,10806,0.33,0.337,0.714,0.494,0,333.96700000000004,707.574,4621033,50388378,420
Alabama A&M University,Masters Colleges and Universities--larger programs,0.142,4051,105331,0.938,3906,823,7142,3808,0.1,0.712,0.631,0.828,401100448,585.976,519.313,5877866,27196736,1
Lewis-Clark State College,Baccalaureate Colleges--Diverse Fields,0.212,4304,52115,0.568,3199,936,4807,1610,0.08,0.417,0.598,0.631,83905150,390.31199999999995,559.728,4499352,7739270,129
University of Montana-Western,Baccalaureate Colleges--Diverse Fields,0.168,1455,61415,0.822,1388,1012,4783,2635,0.26,0.423,0.688,0.806,161828525,428.07599999999996,696.256,4840396,12603205,260
Mississippi State University,Research Universities--very high research activity,0.192,16399,56146,0.918,15593,1106,6487,20934,0.3,0.341,0.785,0.864,1175360364,377.146,868.21,7174622,135798858,242
University of Massachusetts at Dartmouth,Masters Colleges and Universities--larger programs,0.186,7437,82133,0.857,6783,1061,7372,5411,0.3,0.38,0.761,0.604,444421663,403.18,807.421,7821692,39889892,209
City College of City University of New York,Masters Colleges and Universities--larger programs,0.188,12501,97581,0.742,10578,1110,6643,17183,0.09,0.507,0.875,0.403,1676734323,562.77,971.25,7373730,114146669,296
Eastern Kentucky University,Masters Colleges and Universities--larger programs,0.204,13891,56565,0.79,12093,1009,6183,4256,0.17,0.428,0.715,0.828,240740640,431.852,721.435,6238647,26314848,162
Vermont Technical College,Baccalaureate/Associates Colleges,0.432,1543,59065,0.68,1412,933,6011,3808,0.28,0.385,0.699,0.45,224919520,359.205,652.1669999999999,5608263,22889888,514
Brazosport College,Associates--Public 4-year Primarily Associates,0.167,4127,51065,0.234,2573,1012,3267,1847,0,0.177,1,0.353,94317055,179.124,1012,3306204,6034149,473
University of Houston-Downtown,Baccalaureate Colleges--Diverse Fields,0.25,13486,36620,0.511,9983,894,4646,3647,0.02,0.474,0.631,0.524,133553140,423.756,564.114,4153524,16943962,477
Frostburg State University,Masters Colleges and Universities--larger programs,0.212,4703,53942,0.891,4407,963,6343,3542,0.22,0.35,0.768,0.643,191062564,337.04999999999995,739.5840000000001,6108309,22466906,192
Herbert H. Lehman College of City University of New York,Masters Colleges and Universities--larger programs,0.219,9886,65181,0.571,7273,1020,6106,821,0.14,0.523,0.815,0.477,53513601,533.46,831.3,6228120,5013026,299
Old Dominion University,Research Universities--high research activity,0.217,19819,49148,0.762,16867,1016,6883,8279,0.23,0.339,0.796,0.592,406896292,344.42400000000004,808.736,6993128,56984357,522
Southwestern Oklahoma State University,Masters Colleges and Universities--medium programs,0.178,4162,48611,0.809,3758,990,6469,4132,0.14,0.392,0.701,0.766,200860652,388.08000000000004,693.99,6404310,26729908,400
West Texas A&M University,Masters Colleges and Universities--larger programs,0.225,6906,43276,0.8,5837,994,5330,3232,0.24,0.386,0.656,0.743,139868032,383.684,652.0640000000001,5298020,17226560,504
University of Virginia's College at Wise,Baccalaureate Colleges--Arts & Sciences,0.154,2291,85403,0.642,1848,949,11916,32350,0.24,0.38,0.711,0.571,2762787050,360.62,674.7389999999999,11308284,385482600,524
University of Minnesota at Crookston,Baccalaureate Colleges--Diverse Fields,0.173,2839,56410,0.46,1934,1004,7681,7068,0.33,0.239,0.691,0.787,398705880,239.956,693.7639999999999,7711724,54289308,230
Abraham Baldwin Agricultural College,Associates--Public 4-year Primarily Associates,0.198,3394,51855,0.692,2564,897,4200,4111,0,0.461,0.604,0.569,213175905,413.517,541.788,3767400,17266200,103
Northern Arizona University,Research Universities--high research activity,0.201,22160,49529,0.838,21724,1050,7224,4163,0.3,0.378,0.718,0.612,206189227,396.9,753.9,7585200,30073512,17
Oklahoma State University-Oklahoma City,Associates--Public 4-year Primarily Associates,0.161,6996,31792,0.322,4784,1012,6582,22,0,0.419,1,0.238,699424,424.02799999999996,1012,6660984,144804,395
Daytona State College,Associates--Public 4-year Primarily Associates,0.277,14865,23363,0.414,11389,1012,3625,504,0,0.491,1,0.371,11774952,496.892,1012,3668500,1827000,77
University of Nebraska at Kearney,Masters Colleges and Universities--larger programs,0.16,5502,52623,0.868,5221,1049,6682,11,0.21,0.344,0.755,0.722,578853,360.856,791.995,7009418,73502,262
University of Maine at Farmington,Baccalaureate Colleges--Diverse Fields,0.193,1901,74207,0.938,1968,1012,6034,5883,0.37,0.46,0.711,0.672,436559781,465.52000000000004,719.5319999999999,6106408,35498022,183
Pennsylvania State University-Harrisburg,Masters Colleges and Universities--larger programs,0.21,3577,0,0.873,3265,1027,5100,11149,0.39,0.346,0.819,0.635,0,355.342,841.1129999999999,5237700,56859900,428
University of Maryland University College,Masters Colleges and Universities--larger programs,0.294,26740,31611,0.221,17160,1012,8364,523,0.01,0.239,0.357,0.082,16532553,241.868,361.284,8464368,4374372,193
Western Carolina University,Masters Colleges and Universities--larger programs,0.237,8448,48912,0.838,7559,1034,5785,6199,0.32,0.381,0.786,0.691,303205488,393.954,812.724,5981690,35861215,345
Kent State University-Geauga,Associates--Public 4-year Primarily Associates,0.079,2646,129030,0.223,1308,1012,3788,3808,0.07,0.408,0.61,0.257,491346240,412.89599999999996,617.3199999999999,3833456,14424704,368
Indiana University-Purdue University at Fort Wayne,Masters Colleges and Universities--larger programs,0.167,12928,56989,0.574,9684,996,5472,4586,0.05,0.367,0.672,0.431,261351554,365.532,669.312,5450112,25094592,141
Bowie State University,Doctoral/Research Universities,0.176,4358,67945,0.808,3848,886,6887,1371,0.12,0.487,0.702,0.499,93152595,431.48199999999997,621.972,6101882,9442077,190
University of California-Merced,Not applicable- not in Carnegie universe,0.127,5837,156751,0.99,5651,1010,17135,1156,0.26,0.598,0.843,0.816,181204156,603.98,851.43,17306350,19808060,579
Florida Gateway College,Associates--Public Rural-serving Medium,0.238,3057,30369,0.311,2179,1012,2383,1548,0,0.39,1,0.375,47011212,394.68,1012,2411596,3688884,86
Bridgewater State College,Masters Colleges and Universities--larger programs,0.206,9615,43917,0.836,8770,991,4805,2933,0.28,0.237,0.814,0.418,128808561,234.867,806.674,4761755,14093065,200
Navajo Technical College,Tribal Colleges,0.178,1956,103829,0.65,1364,1012,5293,299,0,0.657,0.444,0.384,31044871,664.884,449.32800000000003,5356516,1582607,285
Dine College,Tribal Colleges,0.102,1466,165574,0.622,1357,1012,4746,3400,0,0.822,0.8,1,562951600,831.8639999999999,809.6,4802952,16136400,16
Cameron University,Masters Colleges and Universities--smaller programs,0.163,5358,55914,0.67,4352,1012,5184,3381,0.08,0.486,0.604,0.604,189045234,491.832,611.2479999999999,5246208,17527104,387
University of North Florida,Masters Colleges and Universities--larger programs,0.272,14263,33419,0.707,12712,1143,4824,6018,0.21,0.348,0.817,0.616,201115542,397.76399999999995,933.8309999999999,5513832,29030832,90
Truman State University,Masters Colleges and Universities--medium programs,0.224,5898,52652,0.911,5156,1243,6719,5971,0.53,0.19,0.874,0.862,314385092,236.17000000000002,1086.382,8351717,40119149,252
Troy University,Masters Colleges and Universities--larger programs,0.214,16316,38447,0.56,13261,1012,5321,33,0.13,0.476,0.739,0.374,1268751,481.712,747.8679999999999,5384852,175593,12
University of Alaska at Anchorage,Masters Colleges and Universities--larger programs,0.161,16380,88284,0.469,11469,1012,4830,4018,0.08,0.247,0.706,0.474,354725112,249.964,714.472,4887960,19406940,13
South Seattle Community College,Associates--Public 4-year Primarily Associates,0.164,4951,28803,0.402,3986,1012,5220,2579,0,0.165,1,0.322,74282937,166.98000000000002,1012,5282640,13462380,539
Columbia Basin College,Associates--Public Rural-serving Large,0.229,6480,34209,0.57,5111,1012,5015,2797,0,0.308,1,0.836,95682573,311.69599999999997,1012,5075180,14026955,532
Oakland University,Doctoral/Research Universities,0.192,16594,57103,0.738,14268,1070,6383,3707,0.14,0.203,0.781,0.522,211680821,217.21,835.6700000000001,6829810,23661781,223
State University of New York at Fredonia,Masters Colleges and Universities--medium programs,0.216,5092,64309,0.971,5319,1056,5041,4444,0.45,0.35,0.776,0.516,285789196,369.59999999999997,819.456,5323296,22402204,319
University of Wisconsin at Platteville,Masters Colleges and Universities--larger programs,0.171,7862,57519,0.895,7282,1050,4569,2379,0.18,0.306,0.753,0.8,136837701,321.3,790.65,4797450,10869651,564
Georgia Southwestern State University,Masters Colleges and Universities--smaller programs,0.205,2667,40893,0.701,2459,950,4979,4532,0.15,0.477,0.65,0.701,185327076,453.15,617.5,4730050,22564828,114
University of California at San Diego,Research Universities--very high research activity,0.263,23805,155660,0.973,23961,1276,15989,15714,0.56,0.427,0.942,0.817,2446041240,544.852,1201.992,20401964,251251146,45
St. Cloud State University,Masters Colleges and Universities--larger programs,0.208,15134,47719,0.652,11667,1010,4842,1366,0.19,0.307,0.707,0.631,65184154,310.07,714.0699999999999,4890420,6614172,234
State University of New York College at Old Westbury,Baccalaureate Colleges--Arts & Sciences,0.203,4161,74025,0.855,3945,998,6254,44,0.19,0.471,0.758,0.466,3257100,470.058,756.484,6241492,275176,326
Southern Connecticut State University,Masters Colleges and Universities--larger programs,0.222,8257,62097,0.85,7281,921,5950,1343,0.17,0.346,0.752,0.396,83396271,318.666,692.592,5479950,7990850,68
North Carolina Agricultural and Technical State University,Doctoral/Research Universities,0.146,8872,84313,0.913,8578,902,7213,3808,0.16,0.588,0.798,0.69,321063904,530.376,719.796,6506126,27467104,335
Virginia State University,Masters Colleges and Universities--smaller programs,0.158,5073,71443,0.95,5334,811,14963,6090,0.25,0.683,0.649,0.635,435087870,553.913,526.339,12134993,91124670,528
Dalton State College,Baccalaureate/Associates Colleges,0.161,5015,41916,0.607,3846,1012,4398,2488,0.07,0.612,0.712,0.703,104287008,619.3439999999999,720.544,4450776,10942224,110
New York City College of Technology/City University of New York,Baccalaureate/Associates Colleges,0.162,16860,80936,0.612,12303,936,6014,1018,0.03,0.584,0.766,0.394,82392848,546.6239999999999,716.976,5629104,6122252,301
California State University at Los Angeles,Masters Colleges and Universities--larger programs,0.229,19589,44071,0.831,15805,871,9061,989,0.06,0.645,0.821,0.5,43586219,561.795,715.091,7892131,8961329,38
San Francisco State University,Masters Colleges and Universities--larger programs,0.27,26156,41281,0.845,22077,998,8842,1675,0.12,0.424,0.821,0.497,69145675,423.152,819.358,8824316,14810350,51
Fitchburg State College,Masters Colleges and Universities--larger programs,0.212,4245,52671,0.81,3622,987,5198,2349,0.2,0.342,0.781,0.549,123724179,337.55400000000003,770.847,5130426,12210102,201
Missouri State University,Masters Colleges and Universities--larger programs,0.213,18027,42147,0.766,14239,1090,5159,4100,0.3,0.32,0.752,0.642,172802700,348.8,819.68,5623310,21151900,255
Jacksonville State University,Masters Colleges and Universities--larger programs,0.181,7588,51692,0.762,6856,1036,6289,1488,0.1,0.461,0.711,0.652,76917696,477.596,736.596,6515404,9358032,7
Missouri Western State University,Baccalaureate Colleges--Diverse Fields,0.162,5616,63770,0.702,4452,1012,5783,5765,0.13,0.425,0.604,0.501,367634050,430.09999999999997,611.2479999999999,5852396,33338995,248
Central Michigan University,Doctoral/Research Universities,0.2,20534,45150,0.871,18746,1029,6148,4019,0.2,0.349,0.767,0.676,181457850,359.121,789.243,6326292,24708812,212
Delaware State University,Masters Colleges and Universities--medium programs,0.141,3892,129813,0.92,3797,890,7655,4724,0.18,0.503,0.652,0.654,613236612,447.67,580.28,6812950,36162220,70
University of Arkansas at Little Rock,Doctoral/Research Universities,0.189,9970,53575,0.557,7814,1077,6619,7674,0.07,0.403,0.697,0.609,411134550,434.031,750.669,7128663,50794206,18
Southern University at New Orleans,Masters Colleges and Universities--medium programs,0.158,1809,53397,0.676,976,808,3269,4688,0.03,0.627,0.523,0.686,250325136,506.616,422.584,2641352,15325072,180
University of Louisville,Research Universities--very high research activity,0.197,15954,101486,0.779,13750,1142,8076,41605,0.25,0.3,0.779,0.745,4222325030,342.59999999999997,889.618,9222792,336001980,164
University of Maine at Machias,Baccalaureate Colleges--Arts & Sciences,0.143,892,120185,0.492,613,937,8021,2765,0.13,0.409,0.659,0.416,332311525,383.233,617.4830000000001,7515677,22178065,185
North Carolina Central University,Masters Colleges and Universities--larger programs,0.149,6220,80522,0.852,6321,859,8020,2872,0.15,0.635,0.732,0.721,231259184,545.465,628.788,6889180,23033440,339
State University of New York Institute of Technology at Utica-Rome,Masters Colleges and Universities--medium programs,0.265,1804,62493,0.79,1501,1053,5353,1367,0.32,0.385,0.838,0.417,85427931,405.40500000000003,882.414,5636709,7317551,315
Florida State University,Research Universities--very high research activity,0.278,32528,45742,0.889,31611,1212,4537,13906,0.56,0.306,0.917,0.718,636088252,370.872,1111.404,5498844,63091522,83
Pennsylvania State University-Beaver,Baccalaureate Colleges--Arts & Sciences,0.11,703,0,0.89,684,955,4857,9846,0.24,0.365,0.677,0.586,0,348.575,646.5350000000001,4638435,47822022,426
Dakota State University,Masters Colleges and Universities--smaller programs,0.165,2876,66121,0.414,1765,1010,3842,4392,0.19,0.236,0.693,0.792,290403432,238.35999999999999,699.93,3880420,16874064,459
Seminole State College of Florida,Associates--Public Suburban-serving Single Campus,0.193,18427,14911,0.374,15021,1012,4007,725,0,0.477,1,0.253,10810475,482.724,1012,4055084,2905075,97
Utah Valley University,Baccalaureate Colleges--Diverse Fields,0.183,30370,44019,0.519,24295,1012,4657,689,0.07,0.413,0.607,0.353,30329091,417.95599999999996,614.284,4712884,3208673,509
California State University at San Bernardino,Masters Colleges and Universities--larger programs,0.22,16191,50514,0.883,14586,888,9354,1353,0.09,0.58,0.888,0.505,68345442,515.04,788.544,8306352,12655962,30
University of Houston main campus,Research Universities--very high research activity,0.205,31706,62354,0.72,26905,1136,6759,18003,0.16,0.388,0.846,0.881,1122559062,440.76800000000003,961.0559999999999,7678224,121682277,479
California State University-Monterey Bay,Masters Colleges and Universities--smaller programs,0.186,5306,84364,0.934,4805,976,9082,3085,0.12,0.476,0.812,0.457,260262940,464.57599999999996,792.5120000000001,8864032,28017970,575
State University of New York College of Environmental Science and Forestry,Doctoral/Research Universities,0.242,1702,104139,0.968,1678,1155,5465,10676,0.5,0.268,0.857,0.748,1111787964,309.54,989.835,6312075,58344340,314
Marshall University,Masters Colleges and Universities--larger programs,0.174,9756,61448,0.847,9089,1022,7530,8586,0.23,0.436,0.686,0.743,527592528,445.592,701.0920000000001,7695660,64652580,547
Richard Stockton College of New Jersey,Masters Colleges and Universities--medium programs,0.249,7539,57039,0.922,7880,1068,7950,2730,0.42,0.356,0.868,0.48,155716470,380.20799999999997,927.024,8490600,21703500,282
Norfolk State University,Masters Colleges and Universities--larger programs,0.164,6021,69709,0.827,5541,879,7489,1401,0.21,0.617,0.72,0.705,97662309,542.343,632.88,6582831,10492089,521
East Carolina University,Doctoral/Research Universities,0.2,21508,65672,0.86,20348,1050,7624,5852,0.3,0.321,0.809,0.823,384312544,337.05,849.45,8005200,44615648,332
Southeastern Louisiana University,Masters Colleges and Universities--larger programs,0.17,13730,44243,0.728,11825,1030,6100,1020,0.13,0.333,0.633,0.781,45127860,342.99,651.99,6283000,6222000,178
Mississippi University for Women,Masters Colleges and Universities--smaller programs,0.261,2429,40775,0.801,2409,995,5350,1444,0.21,0.493,0.791,0.628,58879100,490.53499999999997,787.0450000000001,5323250,7725400,240
State University of New York College at Purchase,Baccalaureate Colleges--Arts & Sciences,0.23,4239,98447,0.908,4299,1082,5890,12326,0.5,0.318,0.824,0.395,1213457722,344.076,891.568,6372980,72600140,325
Sul Ross State University,Masters Colleges and Universities--larger programs,0.219,2003,56157,0.606,1581,865,4806,7398,0.14,0.606,0.478,0.682,415449486,524.1899999999999,413.46999999999997,4157190,35554788,491
Langston University,Masters Colleges and Universities--smaller programs,0.158,2075,62166,0.887,1753,1012,6501,19868,0.15,0.717,0.7,0.994,1235114088,725.6039999999999,708.4,6579012,129161868,390
Ohio University,Research Universities--high research activity,0.255,23504,50957,0.713,21755,1104,6185,16736,0.47,0.234,0.786,0.658,852816352,258.336,867.744,6828240,103512160,380
Kent State University-Salem,Baccalaureate/Associates Colleges,0.124,1844,68796,0.381,1211,1012,4282,3808,0.11,0.524,0.557,0.333,261975168,530.288,563.6840000000001,4333384,16305856,366
Arkansas State University,Masters Colleges and Universities--larger programs,0.236,10098,27456,0.757,9242,1088,7744,3440,0.18,0.462,0.731,0.739,94448640,502.656,795.328,8425472,26639360,20
University of Maine at Presque Isle,Baccalaureate Colleges--Diverse Fields,0.216,1263,75893,0.568,1020,1012,5842,1123,0.15,0.364,0.595,0.479,85227839,368.368,602.14,5912104,6560566,187
Indian River State College,Associates--Public 4-year Primarily Associates,0.258,17248,22361,0.344,12211,1012,3869,1721,0,0.399,1,0.253,38483281,403.788,1012,3915428,6658549,85
Indiana University-Northwest,Masters Colleges and Universities--medium programs,0.157,5904,53831,0.546,4034,918,6082,1924,0.07,0.347,0.679,0.447,103570844,318.546,623.322,5583276,11701768,147
University of Central Arkansas,Masters Colleges and Universities--larger programs,0.238,9754,50994,0.849,8908,1070,7764,2317,0.2,0.394,0.698,0.737,118153098,421.58000000000004,746.8599999999999,8307480,17989188,23
Prairie View A&M University,Masters Colleges and Universities--larger programs,0.153,6731,72886,0.926,6386,845,7846,8014,0.11,0.654,0.679,0.861,584108404,552.63,573.755,6629870,62877844,487
Georgia Southern University,Doctoral/Research Universities,0.165,17904,52327,0.88,17010,1094,5192,2244,0.25,0.375,0.805,0.871,117421788,410.25,880.6700000000001,5680048,11650848,116
Winthrop University,Masters Colleges and Universities--larger programs,0.201,5048,63591,0.878,4806,1030,9043,6506,0.34,0.404,0.718,0.55,413723046,416.12,739.54,9314290,58833758,457
Fairmont State University,Masters Colleges and Universities--smaller programs,0.193,3966,53808,0.866,3536,965,6130,3808,0.14,0.48,0.612,0.567,204900864,463.2,590.58,5915450,23343040,545
Louisiana Tech University,Research Universities--high research activity,0.169,9245,43921,0.712,7530,1089,6745,8196,0.29,0.222,0.786,0.807,359976516,241.758,855.9540000000001,7345305,55282020,172
California State University-Dominguez Hills,Masters Colleges and Universities--larger programs,0.26,12481,38497,0.687,8683,845,8895,1234,0.03,0.586,0.793,0.388,47505298,495.16999999999996,670.085,7516275,10976430,33
New College of Florida,Baccalaureate Colleges--Arts & Sciences,0.193,793,121756,1,946,1283,7622,40346,0.56,0.286,0.812,0.743,4912367576,366.938,1041.796,9779026,307517212,568
University of Texas at El Paso,Research Universities--high research activity,0.2,19696,44732,0.659,15631,923,6855,10862,0.12,0.58,0.699,0.699,485878984,535.3399999999999,645.1769999999999,6327165,74459010,497
Austin Peay State University,Masters Colleges and Universities--larger programs,0.197,9550,49698,0.719,8013,1009,6783,2599,0.15,0.538,0.662,0.574,129165102,542.842,667.9580000000001,6844047,17629017,464
Mississippi Valley State University,Masters Colleges and Universities--medium programs,0.164,1926,77568,0.831,2032,825,7058,838,0.1,0.69,0.53,0.851,65001984,569.25,437.25,5822850,5914604,241
