institution_name,basic,grad_rate,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow,id
Olympic College,Associates--Public 4-year Primarily Associates,0.248,7329,16628,0.585,6158,1012,5672,1615,0,0.318,1,0.28,26854220,321.81600000000003,1012,5740064,9160280,537
Plymouth State University,Masters Colleges and Universities--larger programs,0.211,4065,50137,0.934,4031,965,7823,2123,0.41,0.27,0.716,0.399,106440851,260.55,690.9399999999999,7549195,16608229,272
Ohio State University at Lima,Baccalaureate Colleges--Diverse Fields,0.129,1059,103730,0.823,954,1012,3745,4775,0.19,0.458,0.592,0.414,495310750,463.49600000000004,599.1039999999999,3789940,17882375,372
Rowan University,Masters Colleges and Universities--larger programs,0.243,10951,86923,0.854,9639,1120,5840,10331,0.45,0.301,0.841,0.395,898001513,337.12,941.92,6540800,60333040,274
University of Central Florida,Research Universities--very high research activity,0.264,51333,31929,0.706,45565,1175,4450,2587,0.35,0.377,0.871,0.662,82600323,442.975,1023.425,5228750,11512150,75
North Seattle Community College,Associates--Public Urban-serving Multicampus,0.186,6118,36312,0.366,4220,1012,5536,1270,0,0.154,1,0.268,46116240,155.84799999999998,1012,5602432,7030720,536
California State Polytechnic University at Pomona,Masters Colleges and Universities--larger programs,0.239,20952,50007,0.879,17439,1070,8932,3819,0.1,0.44,0.9,0.488,190976733,470.8,963,9557240,34111308,31
University of Texas of the Permian Basin,Masters Colleges and Universities--medium programs,0.212,4246,61549,0.453,2625,1008,3583,12071,0.12,0.212,0.664,0.596,742957979,213.696,669.312,3611664,43250393,499
University of California at Santa Cruz,Research Universities--very high research activity,0.249,15695,66676,0.976,16216,1087,17299,3473,0.5,0.446,0.888,0.689,231565748,484.802,965.256,18804013,60079427,47
Gordon College (Ga.),Associates--Public 4-year Primarily Associates,0.15,4187,36914,0.659,3336,840,4069,703,0,0.539,1,0.532,25950542,452.76000000000005,840,3417960,2860507,118
State University of New York College at New Paltz,Masters Colleges and Universities--larger programs,0.25,6570,55803,0.922,6641,1129,5892,2054,0.5,0.28,0.872,0.535,114619362,316.12,984.4879999999999,6652068,12102168,321
"State University of New York, The College at Brockport",Masters Colleges and Universities--larger programs,0.257,7090,61565,0.904,6765,1069,5489,1042,0.48,0.408,0.808,0.569,64150730,436.152,863.7520000000001,5867741,5719538,316
University of South Carolina Upstate,Baccalaureate Colleges--Diverse Fields,0.221,5308,54044,0.796,4924,982,6857,1349,0.23,0.456,0.661,0.494,72905356,447.79200000000003,649.102,6733574,9250093,456
University of Minnesota at Morris,Baccalaureate Colleges--Arts & Sciences,0.176,1946,90040,0.933,1852,1168,8249,6067,0.5,0.293,0.871,0.78,546272680,342.224,1017.328,9634832,50046683,232
Lincoln University (Pa.),Masters Colleges and Universities--larger programs,0.187,1624,95409,0.916,1649,853,9709,14250,0.22,0.643,0.716,0.575,1359578250,548.479,610.7479999999999,8281777,138353250,415
Middle Tennessee State University,Doctoral/Research Universities,0.195,21162,48916,0.821,19577,1011,6754,3501,0.16,0.449,0.684,0.725,171254916,453.939,691.524,6828294,23645754,467
Jackson State University,Research Universities--high research activity,0.165,6903,83508,0.842,6193,910,6853,2037,0.16,0.648,0.755,0.723,170105796,589.6800000000001,687.05,6236230,13959561,239
Southern University and A&M College,Masters Colleges and Universities--larger programs,0.146,5746,70875,0.819,5113,1012,5537,1437,0.08,0.628,0.674,0.626,101847375,635.5360000000001,682.0880000000001,5603444,7956669,179
Southeast Missouri State University,Masters Colleges and Universities--larger programs,0.179,10605,52712,0.75,8943,1049,5017,6578,0.26,0.356,0.726,1,346739536,373.44399999999996,761.574,5262833,33001826,254
Gulf Coast Community College,Associates--Public Rural-serving Large,0.211,6271,37408,0.355,4474,1012,3585,5953,0,0.428,1,0.34,222689824,433.13599999999997,1012,3628020,21341505,84
Millersville University of Pennsylvania,Masters Colleges and Universities--larger programs,0.211,7388,69916,0.891,7048,1014,5478,3347,0.37,0.315,0.811,0.631,234008852,319.41,822.354,5554692,18334866,418
Western Washington University,Masters Colleges and Universities--larger programs,0.237,14026,47756,0.923,13352,1114,7836,3716,0.37,0.255,0.828,0.624,177461296,284.07,922.3919999999999,8729304,29118576,542
University of Massachusetts at Lowell,Research Universities--high research activity,0.187,12734,67895,0.709,10499,1132,6944,4819,0.28,0.299,0.839,0.553,327186005,338.46799999999996,949.7479999999999,7860608,33463136,203
Valdosta State University,Masters Colleges and Universities--larger programs,0.174,9718,43779,0.852,9382,1033,5174,2747,0.15,0.459,0.689,0.791,120260913,474.147,711.737,5344742,14212978,122
Western Kentucky University,Masters Colleges and Universities--larger programs,0.189,17509,59899,0.764,15115,1009,6072,945,0.25,0.393,0.718,0.632,56604555,396.53700000000003,724.462,6126648,5738040,168
Polk State College,Associates--Public Rural-serving Large,0.202,11085,34331,0.347,7935,1012,4669,1393,0,0.415,1,0.246,47823083,419.97999999999996,1012,4725028,6503917,94
Glenville State College,Baccalaureate Colleges--Diverse Fields,0.132,1850,79840,0.602,1397,879,6158,9614,0.13,0.405,0.633,0.622,767581760,355.995,556.407,5412882,59203012,546
Granite State College,Baccalaureate Colleges--Arts & Sciences,0.283,1723,27453,0.533,1531,1012,3683,1215,0.09,0.494,0.6,0.032,33355395,499.928,607.1999999999999,3727196,4474845,273
McNeese State University,Masters Colleges and Universities--larger programs,0.173,7575,39156,0.789,6942,1030,5349,2199,0.13,0.364,0.691,0.655,86104044,374.92,711.7299999999999,5509470,11762451,173
Colorado School of Mines,Research Universities--high research activity,0.174,4291,91333,0.951,4410,1298,8507,41918,0.41,0.175,0.919,0.684,3828496694,227.14999999999998,1192.862,11042086,356596426,58
Northern Kentucky University,Masters Colleges and Universities--larger programs,0.195,12794,61829,0.761,10741,1024,6029,6511,0.13,0.337,0.674,0.566,402568619,345.088,690.176,6173696,39254819,167
Minot State University,Masters Colleges and Universities--medium programs,0.211,3254,49842,0.661,2660,1004,3822,5036,0.14,0.232,0.682,0.676,251004312,232.92800000000003,684.7280000000001,3837288,19247592,350
Texas A&M International University,Masters Colleges and Universities--larger programs,0.166,6585,67946,0.611,4740,892,6578,6117,0.21,0.573,0.737,0.681,415625682,511.116,657.404,5867576,40237626,481
University of Missouri at St. Louis,Research Universities--high research activity,0.241,13569,48640,0.445,8375,1012,6556,5875,0.2,0.304,0.75,0.531,285760000,307.64799999999997,759,6634672,38516500,251
Radford University,Masters Colleges and Universities--larger programs,0.214,8913,51817,0.959,8551,980,7542,4317,0.41,0.285,0.781,0.668,223693989,279.29999999999995,765.38,7391160,32558814,523
University of Texas at Dallas,Research Universities--high research activity,0.246,13049,51464,0.815,10813,1262,9577,17865,0.45,0.354,0.881,0.747,919404360,446.748,1111.8220000000001,12086174,171093105,496
Lincoln University (Mo.),Masters Colleges and Universities--smaller programs,0.161,2892,68841,0.648,2235,1012,4839,2946,0.06,0.541,0.527,0.647,202805586,547.4920000000001,533.3240000000001,4897068,14255694,246
Montclair State University,Masters Colleges and Universities--larger programs,0.226,15431,54667,0.866,13857,970,6094,2233,0.34,0.373,0.856,0.346,122071411,361.81,830.3199999999999,5911180,13607902,277
University of Texas-Pan American,Masters Colleges and Universities--larger programs,0.18,17230,47790,0.761,14694,937,6920,3808,0.15,0.636,0.763,0.854,181984320,595.932,714.931,6484040,26351360,485
Pensacola State College,Associates--Public Rural-serving Large,0.23,11235,26206,0.398,8740,1012,3748,990,0,0.376,1,0.287,25943940,380.512,1012,3792976,3710520,93
William Paterson University,Masters Colleges and Universities--larger programs,0.201,10027,76275,0.825,9370,1010,7335,690,0.16,0.396,0.748,0.328,52629750,399.96000000000004,755.48,7408350,5061150,284
Maine Maritime Academy,Baccalaureate Colleges--Diverse Fields,0.168,994,145380,0.985,991,1026,6405,15340,0.52,0.288,0.754,0.67,2230129200,295.488,773.604,6571530,98252700,186
Ramapo College of New Jersey,Masters Colleges and Universities--medium programs,0.231,5614,65877,0.889,5753,1096,9017,2215,0.58,0.25,0.867,0.485,145917555,274,950.232,9882632,19972655,279
Ohio State University at Mansfield,Baccalaureate/Associates Colleges,0.17,1155,102118,0.837,1061,1012,4358,1846,0.2,0.47,0.632,0.425,188509828,475.64,639.5840000000001,4410296,8044868,373
Ft. Berthold Community College,Tribal Colleges,0.198,203,125673,0.631,170,1012,9101,7449,0.4,0.332,1,0.704,936138177,335.98400000000004,1012,9210212,67793349,348
University of South Carolina at Beaufort,Baccalaureate Colleges--Diverse Fields,0.16,1724,72022,0.798,1575,932,5765,50,0.09,0.396,0.558,0.47,3601100,369.072,520.056,5372980,288250,453
Missouri University of Science and Technology,Research Universities--high research activity,0.207,6145,54819,0.89,5273,1263,7379,23753,0.25,0.259,0.826,0.774,1302115707,327.117,1043.238,9319677,175273387,250
Pennsylvania State University-Shenango,Baccalaureate Colleges--Diverse Fields,0.24,568,0,0.555,451,889,6381,10666,0.14,0.547,0.773,0.477,0,486.283,687.197,5672709,68059746,421
Texas A&M University at Corpus Christi,Doctoral/Research Universities,0.185,9152,54712,0.791,7926,960,5072,1241,0.24,0.418,0.573,0.691,67897592,401.28,550.0799999999999,4869120,6294352,474
"Pennsylvania State University, Worthington-Scranton",Baccalaureate Colleges--Diverse Fields,0.161,1178,0,0.801,1066,941,5014,10289,0.22,0.465,0.654,0.51,0,437.565,615.414,4718174,51589046,423
Empire State College of State University of New York,Masters Colleges and Universities--medium programs,0.327,10827,35885,0.39,8993,1012,4230,1849,0.08,0.355,0.495,0.176,66351365,359.26,500.94,4280760,7821270,328
Northwest Missouri State University,Masters Colleges and Universities--larger programs,0.192,5542,51680,0.9,5393,1050,5990,4359,0.26,0.356,0.658,0.832,225273120,373.79999999999995,690.9,6289500,26110410,253
University of North Carolina at Wilmington,Masters Colleges and Universities--larger programs,0.229,12447,51425,0.917,12218,1154,5993,5626,0.51,0.282,0.864,0.7,289317050,325.42799999999994,997.056,6915922,33716618,342
East Tennessee State University,Doctoral/Research Universities,0.195,11820,77748,0.823,10945,1026,6947,7875,0.17,0.437,0.662,0.735,612265500,448.362,679.212,7127622,54707625,465
Colorado Mountain College,Associates--Public Rural-serving Large,0.16,5893,52626,0.338,3463,1012,3357,2325,0,0.234,1,0.178,122355450,236.80800000000002,1012,3397284,7805025,57
Kent State University at Ashtabula,Associates--Public 4-year Primarily Associates,0.164,2339,47013,0.286,1478,1012,3976,3808,0.01,0.594,0.492,0.45,179025504,601.1279999999999,497.904,4023712,15140608,361
Mansfield University of Pennsylvania,Masters Colleges and Universities--medium programs,0.209,2717,72118,0.903,2679,964,6033,279,0.34,0.439,0.719,0.626,20120922,423.196,693.116,5815812,1683207,417
College of Coastal Georgia,Associates--Public Rural-serving Medium,0.145,2987,68874,0.615,2447,940,4212,2548,0,0.513,0.574,0.523,175490952,482.22,539.56,3959280,10732176,107
Indiana University East,Baccalaureate Colleges--Diverse Fields,0.18,4326,39193,0.45,2754,943,5307,1832,0.09,0.361,0.675,0.357,71801576,340.423,636.5250000000001,5004501,9722424,149
Evergreen State College,Masters Colleges and Universities--smaller programs,0.274,4087,51319,0.921,4342,1081,14806,2222,0.42,0.443,0.741,0.716,114030818,478.883,801.021,16005286,32898932,534
Arizona State University at Tempe,Research Universities--very high research activity,0.237,38730,79866,0.903,38789,1145,8503,8058,0.37,0.338,0.844,0.876,643560228,387.01000000000005,966.38,9735935,68517174,15
Southern Polytechnic State University,Masters Colleges and Universities--medium programs,0.165,5732,59353,0.723,4742,1123,5061,1213,0.1,0.414,0.724,0.702,71995189,464.92199999999997,813.052,5683503,6138993,121
Emporia State University,Masters Colleges and Universities--larger programs,0.201,3873,48368,0.889,3392,1030,5084,13591,0.2,0.391,0.73,0.905,657369488,402.73,751.9,5236520,69096644,155
Tennessee State University,Doctoral/Research Universities,0.179,6816,80377,0.796,5869,1012,7041,5489,0.07,0.666,0.598,0.747,441189353,673.9920000000001,605.1759999999999,7125492,38648049,470
California State University at Fullerton,Masters Colleges and Universities--larger programs,0.269,33116,40380,0.806,26806,1021,8616,1476,0.13,0.406,0.885,0.462,59600880,414.526,903.585,8796936,12717216,35
Angelo State University,Masters Colleges and Universities--medium programs,0.198,5473,51851,0.858,5278,965,6209,21480,0.14,0.426,0.546,0.785,1113759480,411.09,526.89,5991685,133369320,472
Buffalo State College,Masters Colleges and Universities--larger programs,0.204,9355,61271,0.886,9281,975,5989,2738,0.25,0.459,0.753,0.494,167759998,447.52500000000003,734.175,5839275,16397882,317
Georgia Gwinnett College,Baccalaureate Colleges--Diverse Fields,0.054,9719,139236,0.703,7993,1012,4003,3808,0.05,0.531,0.632,0.645,530210688,537.3720000000001,639.5840000000001,4051036,15243424,580
Lake Washington Technical College,Associates--Public Suburban-serving Multicampus,0.259,3819,32834,0.502,2947,1012,5529,158,0,0.255,1,0.329,5187772,258.06,1012,5595348,873582,535
Missouri Southern State University,Baccalaureate Colleges--Diverse Fields,0.229,5587,45146,0.738,4423,990,4578,7231,0.15,0.607,0.661,0.635,326450726,600.93,654.39,4532220,33103518,247
University of New Orleans,Research Universities--high research activity,0.202,7144,53680,0.753,6594,1072,6242,2521,0.13,0.32,0.675,0.705,135327280,343.04,723.6,6691424,15736082,174
Clarion University of Pennsylvania,Masters Colleges and Universities--larger programs,0.205,5199,53754,0.841,5073,915,5238,3974,0.32,0.388,0.757,0.721,213618396,355.02000000000004,692.655,4792770,20815812,410
California State University at San Marcos,Masters Colleges and Universities--medium programs,0.234,10738,61411,0.824,7843,966,8393,2284,0.12,0.431,0.823,0.485,140262724,416.346,795.0179999999999,8107638,19169612,570
University of South Florida,Research Universities--very high research activity,0.263,31100,47794,0.763,28730,1168,6084,9188,0.35,0.413,0.888,0.752,439131272,482.38399999999996,1037.184,7106112,55899792,100
Morehead State University,Masters Colleges and Universities--larger programs,0.2,10076,60198,0.616,6632,1028,7119,5148,0.22,0.383,0.692,0.767,309899304,393.724,711.376,7318332,36648612,165
State University of New York at Stony Brook,Research Universities--very high research activity,0.227,15992,110471,0.931,16568,1253,6658,6730,0.45,0.351,0.901,0.69,743469830,439.803,1128.953,8342474,44808340,313
University of Southern Indiana,Masters Colleges and Universities--larger programs,0.181,8913,43190,0.827,8925,1004,9369,3890,0.14,0.323,0.688,0.502,168009100,324.29200000000003,690.752,9406476,36445410,143
Kent State University-Stark,Associates--Public 4-year Primarily Associates,0.044,4836,222141,0.458,3239,1012,4063,3808,0.08,0.538,0.633,0.42,845912928,544.456,640.596,4111756,15471904,363
Montana Tech of the University of Montana,Baccalaureate Colleges--Diverse Fields,0.179,1844,83079,0.901,1769,1115,6362,12290,0.19,0.36,0.688,0.708,1021040910,401.4,767.1199999999999,7093630,78188980,257
Southern Utah University,Masters Colleges and Universities--larger programs,0.211,7017,48765,0.749,6009,1066,7961,3223,0.21,0.384,0.647,0.748,157169595,409.344,689.702,8486426,25658303,507
State University of New York College at Plattsburgh,Masters Colleges and Universities--larger programs,0.237,5639,57572,0.92,5546,1026,5553,2624,0.4,0.353,0.838,0.556,151068928,362.178,859.788,5697378,14571072,327
University of Alaska-Southeast,Masters Colleges and Universities--smaller programs,0.162,2645,70131,0.31,1544,1012,4688,2108,0.04,0.183,0.716,0.475,147836148,185.196,724.592,4744256,9882304,14
Santa Fe College,Associates--Public Rural-serving Large,0.243,15113,25944,0.401,11819,1012,2232,1916,0,0.383,1,0.319,49708704,387.596,1012,2258784,4276512,96
Black Hills State University,Masters Colleges and Universities--smaller programs,0.172,4002,50397,0.621,2974,993,4271,2898,0.1,0.348,0.593,0.506,146050506,345.56399999999996,588.8489999999999,4241103,12377358,458
University of Washington-Bothell Campus,Masters Colleges and Universities--medium programs,0.294,4104,0,0.836,3545,1014,12589,12245,0.42,0.345,0.786,0.631,0,349.83,797.004,12765246,154152305,571
City University of New York John Jay College of Criminal Justice,Masters Colleges and Universities--larger programs,0.226,13217,74655,0.785,10903,950,6593,483,0.25,0.545,0.779,0.384,36058365,517.75,740.0500000000001,6263350,3184419,298
Dixie State College of Utah,Baccalaureate/Associates Colleges,0.253,8350,27553,0.619,6485,1012,4341,1608,0.08,0.48,0.598,0.386,44305224,485.76,605.1759999999999,4393092,6980328,505
Longwood University,Masters Colleges and Universities--medium programs,0.2,4497,59449,0.917,4254,1002,7519,12640,0.41,0.234,0.816,0.825,751435360,234.46800000000002,817.632,7534038,95040160,519
Florida Gulf Coast University,Masters Colleges and Universities--larger programs,0.207,12907,47479,0.786,10384,1024,4389,4807,0.22,0.347,0.766,0.654,228231553,355.328,784.384,4494336,21097923,576
Purdue University-Calumet,Masters Colleges and Universities--larger programs,0.182,8390,44358,0.576,6568,1012,5414,1898,0.09,0.326,0.688,0.553,84191484,329.91200000000003,696.256,5478968,10275772,150
Lock Haven University of Pennsylvania,Masters Colleges and Universities--smaller programs,0.191,4855,63666,0.931,4772,937,5664,1904,0.27,0.392,0.702,0.931,121220064,367.30400000000003,657.774,5307168,10784256,416
Clemson University,Research Universities--high research activity,0.216,16931,69378,0.948,16791,1259,13817,25762,0.59,0.178,0.919,0.868,1787316036,224.10199999999998,1157.021,17395603,355953554,449
Kent State University-East Liverpool,Associates--Public 2-year colleges under 4-year universities,0.167,1671,58392,0.139,690,1012,4047,3808,0.22,0.549,0.6,0.386,222356736,555.5880000000001,607.1999999999999,4095564,15410976,362
Sonoma State University,Masters Colleges and Universities--larger programs,0.237,8391,57842,0.915,7449,1006,8710,4095,0.25,0.297,0.84,0.486,236862990,298.782,845.04,8762260,35667450,53
University of Michigan at Dearborn,Masters Colleges and Universities--larger programs,0.206,7144,63139,0.674,5890,1012,5524,4275,0.14,0.43,0.84,0.57,269919225,435.15999999999997,850.0799999999999,5590288,23615100,219
Centralia College,Associates--Public Rural-serving Medium,0.207,3453,31961,0.523,2354,1012,7050,3646,0,0.309,1,0.622,116529806,312.70799999999997,1012,7134600,25704300,531
State University of New York College at Oneonta,Masters Colleges and Universities--smaller programs,0.231,5800,65274,0.978,5945,1097,5877,6137,0.53,0.287,0.874,0.592,400586538,314.839,958.778,6447069,36067149,322
Oklahoma Panhandle State University,Baccalaureate Colleges--Diverse Fields,0.222,1375,47265,0.757,1365,890,4465,2929,0.15,0.455,0.629,0.575,138439185,404.95,559.8100000000001,3973850,13077985,393
Peninsula College,Associates--Public 4-year Primarily Associates,0.212,2405,11640,0.593,2012,1012,5546,642,0,0.356,1,0.265,7472880,360.272,1012,5612552,3560532,538
University of Maryland-Eastern Shore,Masters Colleges and Universities--smaller programs,0.147,3530,105520,0.898,3658,871,9271,5200,0.13,0.551,0.678,0.597,548704000,479.92100000000005,590.538,8075041,48209200,195
Wichita State University,Research Universities--high research activity,0.202,11670,52344,0.755,9961,1089,4668,17845,0.21,0.36,0.745,1,934078680,392.03999999999996,811.305,5083452,83300460,161
University of Wisconsin at Eau Claire,Masters Colleges and Universities--medium programs,0.212,10404,54710,0.914,9841,1110,4913,4356,0.26,0.265,0.823,0.809,238316760,294.15000000000003,913.53,5453430,21401028,556
Palm Beach State College,Associates--Public Suburban-serving Multicampus,0.231,29763,20204,0.318,19938,1012,2757,879,0,0.469,1,0.238,17759316,474.628,1012,2790084,2423403,92
University of Southern Mississippi,Research Universities--high research activity,0.209,12475,51149,0.869,12055,1082,5435,5069,0.2,0.464,0.716,0.755,259274281,502.048,774.712,5880670,27550015,243
Ferris State University,Masters Colleges and Universities--larger programs,0.282,13477,49239,0.687,10929,1010,6641,3364,0.23,0.412,0.767,0.611,165639996,416.12,774.67,6707410,22340324,214
City University of New York York College,Baccalaureate Colleges--Diverse Fields,0.161,8261,96263,0.624,6274,905,6359,110,0.05,0.54,0.741,0.363,10588930,488.70000000000005,670.605,5754895,699490,303
Atlanta Metropolitan College,Associates--Public Urban-serving Single Campus,0.123,3016,57393,0.542,2437,1012,4197,3808,0,0.711,0.8,0.463,218552544,719.5319999999999,809.6,4247364,15982176,106
Utah State University,Research Universities--high research activity,0.223,24385,51787,0.626,19217,1087,6139,11426,0.25,0.36,0.658,0.963,591718262,391.32,715.246,6673093,70144214,508
Washington State University,Research Universities--very high research activity,0.25,23070,64554,0.88,21384,1030,9800,29245,0.4,0.332,0.798,0.771,1887881730,341.96000000000004,821.94,10094000,286601000,541
Alabama State University,Masters Colleges and Universities--larger programs,0.116,5356,132407,0.91,5035,830,7256,13202,0.08,0.827,0.622,0.67,1748037214,686.41,516.26,6022480,95793712,4
University of Maine at Fort Kent,Baccalaureate Colleges--Diverse Fields,0.203,1209,74513,0.491,835,908,5084,3659,0.36,0.322,0.592,0.379,272643067,292.37600000000003,537.536,4616272,18602356,184
Westfield State University,Masters Colleges and Universities--medium programs,0.22,5692,53878,0.878,5088,995,4767,934,0.43,0.261,0.791,0.463,50322052,259.695,787.0450000000001,4743165,4452378,210
Montana State University-Northern,Baccalaureate Colleges--Diverse Fields,0.239,1250,63484,0.734,1087,925,4006,3270,0.14,0.491,0.592,0.67,207592680,454.175,547.6,3705550,13099620,259
Texas Tech University,Research Universities--high research activity,0.202,27044,53332,0.9,24958,1116,6236,18131,0.32,0.289,0.823,0.865,966962492,322.524,918.468,6959376,113064916,502
Edison State College,Associates--Public 4-year Primarily Associates,0.226,15423,26400,0.327,10649,1012,4330,1684,0,0.399,1,0.251,44457600,403.788,1012,4381960,7291720,78
Lake-Sumter Community College,Associates--Public Suburban-serving Multicampus,0.222,4288,31596,0.291,2983,1012,4670,1390,0,0.312,1,0.328,43918440,315.74399999999997,1012,4726040,6491300,87
Texas Woman's University,Doctoral/Research Universities,0.255,9515,35185,0.706,7806,953,5809,3383,0.22,0.492,0.728,0.522,119030855,468.876,693.784,5535977,19651847,503
Fort Valley State University,Baccalaureate Colleges--Diverse Fields,0.113,2858,78466,0.899,2981,1012,5214,1782,0.07,0.765,0.586,0.818,139826412,774.1800000000001,593.0319999999999,5276568,9291348,112
Appalachian State University,Masters Colleges and Universities--larger programs,0.21,16025,47683,0.943,15858,1156,6819,4526,0.41,0.259,0.872,0.71,215813258,299.404,1008.032,7882764,30862794,331
Pennsylvania State University-York,Baccalaureate Colleges--Diverse Fields,0.139,1141,0,0.72,930,984,4391,10390,0.27,0.314,0.762,0.477,0,308.976,749.808,4320744,45622490,437
Armstrong Atlantic State University,Masters Colleges and Universities--larger programs,0.177,6377,47207,0.735,5831,997,5045,1417,0.1,0.434,0.674,0.625,66892319,432.698,671.9780000000001,5029865,7148765,105
Towson University,Masters Colleges and Universities--larger programs,0.238,18779,38386,0.883,17360,1078,7031,2990,0.4,0.25,0.86,0.526,114774140,269.5,927.08,7579418,21022690,199
Ball State University,Research Universities--high research activity,0.2,16300,65091,0.928,16423,1053,8528,8466,0.35,0.346,0.784,0.82,551060406,364.33799999999997,825.552,8979984,72198048,140
University of South Florida at St. Petersburg,Masters Colleges and Universities--medium programs,0.202,4025,46186,0.66,4072,1070,5005,3609,0.22,0.393,0.599,0.483,166685274,420.51,640.93,5355350,18063045,581
United States Merchant Marine Academy,Baccalaureate Colleges--Diverse Fields,0.141,958,247945,1,1427,1012,5352,3808,0.62,0.076,0.973,0.864,944174560,76.91199999999999,984.6759999999999,5416224,20380416,330
James Madison University,Masters Colleges and Universities--larger programs,0.223,18431,53415,0.951,18261,1149,6704,3391,0.65,0.134,0.924,0.691,181130265,153.966,1061.6760000000002,7702896,22733264,518
Kean University,Masters Colleges and Universities--larger programs,0.226,12078,58640,0.766,11076,905,6286,1059,0.18,0.409,0.736,0.26,62099760,370.145,666.08,5688830,6656874,276
Texas A&M University at Commerce,Doctoral/Research Universities,0.26,6969,31922,0.743,5700,987,6488,1859,0.24,0.495,0.669,0.581,59342998,488.565,660.303,6403656,12061192,476
Eastern New Mexico University,Masters Colleges and Universities--smaller programs,0.173,4567,54807,0.604,3694,932,5394,4320,0.12,0.41,0.581,0.51,236766240,382.12,541.492,5027208,23302080,286
Pennsylvania State University-Hazleton,Baccalaureate Colleges--Arts & Sciences,0.088,951,0,0.926,1026,948,5987,9377,0.29,0.456,0.762,0.675,0,432.288,722.376,5675676,56140099,432
Texas A&M University at College Station,Research Universities--very high research activity,0.242,44072,76132,0.899,38712,1182,8440,171461,0.49,0.216,0.914,0.89,13053668852,255.31199999999998,1080.348,9976080,1447130840,494
University of Alabama at Birmingham,Research Universities--very high research activity,0.209,11502,136546,0.727,10032,1146,6088,24136,0.29,0.351,0.802,0.924,3295674256,402.246,919.0920000000001,6976848,146939968,2
Shippensburg University of Pennsylvania,Masters Colleges and Universities--larger programs,0.207,6550,57495,0.949,6391,980,5536,4440,0.37,0.302,0.714,0.732,255277800,295.96,699.7199999999999,5425280,24579840,442
New Jersey City University,Masters Colleges and Universities--larger programs,0.204,6437,78530,0.742,5702,916,7258,973,0.04,0.561,0.695,0.316,76409690,513.8760000000001,636.62,6648328,7062034,275
West Virginia University at Parkersburg,Baccalaureate/Associates Colleges,0.251,3461,26678,0.615,2619,1012,3660,2883,0.07,0.276,0.7,0.362,76912674,279.312,708.4,3703920,10551780,548
Oklahoma State University at Stillwater,Research Universities--high research activity,0.204,20660,58727,0.861,18433,1138,7417,17463,0.32,0.291,0.786,0.867,1025549601,331.15799999999996,894.4680000000001,8440546,129523071,394
